ID,状態,レベル,ジャンル,問題,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説,元のCanvaデザイン,備考
D08-06,出題中,小学生,ことわざ,"イタリアのことわざ「I soldi non fanno la felicità, ma aiutano.（イ ソルディ ノン ファンノ ラ フェリチタ、マ アユータノ）」の意味は？",お金は幸せを作れないけど、助けにはなる,お金があれば何でもできる,お金は幸せそのもの,お金は必要ない,お金は幸せを作れないけど、助けにはなる,ドイツやフランスのことわざに「ma aiutano（でも助けにはなる）」がついた、ちょっと現実的なバージョン。お金そのものは幸せではないけれど、生きやすくしてくれる。イタリアらしい正直なことわざです。,Canva「お金のクイーズ(海外ことわざ編)」,
D08-07,出題中,小学生,ことわざ,中国のことわざ「省下便是賺下」の意味は？,お金を使わないことは、もうけているのと同じ,使わないお金はなくなる,かせいだら全部使おう,中国では節約しない,お金を使わないことは、もうけているのと同じ,「節約はそのままかせぎ」という意味。英語の「A penny saved is a penny earned.」とそっくりですね。ムダづかいをしないことの大切さは、国がちがっても同じです。,Canva「お金のクイーズ(海外ことわざ編)」,
D08-08,出題中,小学生,ことわざ,中国のことわざ「有錢能使鬼推磨」の意味は？,お金があれば、鬼でもはたらかせられる（何でもできる）,鬼はお金がきらい,お金があると鬼が来る,石臼はとても高い,お金があれば、鬼でもはたらかせられる（何でもできる）,直訳は「お金があれば鬼に石臼をひかせることもできる」。お金の力の強さを正直にあらわしたことわざです。英語圏は「努力・時間・節約」、ヨーロッパは「お金と幸せのバランス」、中国は「現実的なお金の力」と、国によってお金の見方がちがうのもおもしろいですね。,Canva「お金のクイーズ(海外ことわざ編)」,
D09-01,出題中,おとな向け,銀行・ためる,1億円を金利0.001％の銀行に1年間あずけたとき、もらえる利息はいくら？,100円,"1,000円","10,000円","100,000円","1,000円","1億円×0.001％＝1,000円。1億円あずけても1年で1,000円しかふえません。これが2023年までの日本の銀行の金利でした。今は金利が0.4％くらいまで上がったので、同じ1億円で40万円（2026年8月時点、三菱UFJ銀行など大手銀行）。それでも物価が上がるスピードのほうが速いと、貯金だけではお金の価値は守れません。",Canva「2025 YOXOフェス 大人のマネリテ検定」,
D09-02,出題中,おとな向け,銀行・ためる,国民年金を40年間満額おさめた場合、1か月にもらえる年金はいくら？,約5万円,約7万円,約9万円,約12万円,約7万円,"20歳から60歳までの40年間すべておさめると、2026年度は月額70,608円（年約85万円）（2026年1月時点、厚生労働省の年金額改定）。おさめた月数が少ないとその分減り、実際の平均は月5万円台です。会社員はこれに厚生年金が上乗せされます。金額は毎年4月に見直されるので、最新の数字は日本年金機構で確認を。",Canva「2025 YOXOフェス 大人のマネリテ検定」,
D09-03,出題中,おとな向け,はたらく・お給料,会社員が税金を安くする（節税）には、何をふやせばいい？,基本給,残業代,所得控除,労働時間,所得控除,税金は「給与－給与所得控除－所得控除＝課税所得」に対してかかります。所得控除（医療費控除・生命保険料控除・扶養控除など15種類）をふやすと課税所得が減り、結果として税金が安くなります。年末調整や確定申告で忘れずに申請しましょう。,Canva「2025 YOXOフェス 大人のマネリテ検定」,
D09-04,出題中,おとな向け,銀行・ためる,年金のお金を運用している「GPIF」。Gは次のどれ？,Gold（金）,Government（政府）,GDP,G20,Government（政府）,Government（政府）Pension（年金）Investment（投資）Fund（基金）＝年金積立金管理運用独立行政法人。将来の年金のためにお金を国内外の株や債券に4分の1ずつ分散して運用していて、運用資産は約318兆円、2001年度からの累積で約221兆円（年率＋4.95％）ふやしています。直近の2026年4〜6月は＋8.20％（＋約24兆円）でした（2026年6月末時点、GPIF「2026年度第1四半期運用状況」）。短い期間ではマイナスの年もあります。,Canva「2025 YOXOフェス 大人のマネリテ検定」,
D09-05,出題中,おとな向け,銀行・ためる,1950年以降、アメリカの主要500社の株に投資する「S&P500」を買った場合、何年以上持ち続けていれば必ずプラスになっている？,5年,10年,15年,20年,15年,世界恐慌やリーマンショックなど大きく下がる時期はあっても、1950年以降はどのタイミングで買っていても、15年以上持ち続ければ必ずプラスになっています。短い期間では損をすることもあるので、投資は「長い目で見る」ことが大切です。（過去のデータであり、将来を保証するものではありません）,Canva「2025 YOXOフェス 大人のマネリテ検定」,
D10-01,出題中,小学生,ことわざ,「悪貨は良貨を駆逐する」ってどんな意味？,高いものほどよく売れる,悪い人ほどお金が貯まる,ニセ札はすぐに見つかる,質の悪いお金が出回ると、いいお金は使われなくなる,質の悪いお金が出回ると、いいお金は使われなくなる,昔、同じ「1枚」でも金がたっぷり入った金貨と、金が少ない金貨が一緒に使われた時代がありました。みんな金の多い金貨は手元に取っておいて、少ない方から使うので、いい金貨は世の中から消えていきます。イギリスのグレシャムという人が言ったので「グレシャムの法則」とも呼ばれます。今の10万円金貨をだれも使わないのも、これと同じ理由です。,2026年9月追加（金と金貨）,
D10-02,出題中,小学生,日本のお金,明治のはじめ、「円」が生まれたころの20円はどんなお金だった？,紙のお札,貝がら,銅でできた玉,金でできた金貨,金でできた金貨,1871年（明治4年）に「円」が生まれたとき、20円・10円・5円などは本物の金でできた金貨でした。はじめの二十円金貨は重さ33.33gで、そのうち金が約30g。今の金の値段だと約71万円にもなります。ただ値打ちが高すぎて毎日の買いものには使われず、しまいこまれたり外国との支払いに使われたりして、1930年代には金貨そのものが姿を消しました。,2026年9月追加（金と金貨）,為替・金相場・日付の差し込みあり（画面では最新の相場で表示）
D10-03,出題中,小学生,せかいのお金,カナダやオーストリアが今も毎年作っている金貨。おもに何のために作られている？,買いもので使うため,学校の教材にするため,財産として持っておくため,ゲームのコインにするため,財産として持っておくため,"カナダの「メイプルリーフ金貨」、オーストリアの「ウィーン金貨」、イギリスの「ブリタニア金貨」などは今も毎年作られていて、どれもその国の本物のお金（法定通貨）です。でもメイプルリーフ金貨1オンス（31.1g）の額面は50カナダドル＝約5,000円あまりなのに、中身の金は約74万円！ 買いものに使ったら大損なので、だれも使わずに財産として持っています。",2026年9月追加（金と金貨）,為替・金相場・日付の差し込みあり（画面では最新の相場で表示）
D10-04,出題中,小学生,日本のお金,2025年の大阪・関西万博を記念して作られた「1万円金貨」。いくらで売られた？,1万円,約5万円,約27万円,約100万円,約27万円,"額面（お金としての値段）は1万円ですが、純金が15.6g使われているので、造幣局の売り値は268,000円（税込）でした。3万枚だけ作られ、買いたい人が多くて抽選になりました。そのあとも金の値段は上がっていて、今は金だけで約37万円になります。",2026年9月追加（金と金貨）,為替・金相場・日付の差し込みあり（画面では最新の相場で表示）
D06-XX,退避中,小学生,ものの値段,みんな大好きなパンダは中国からレンタル（借りている）しています。1頭あたり、毎年どのくらいのレンタル料をはらっている？,"2,000万〜4,000万円","5,000万〜7,000万円","8,000万〜1億円","1億3,000万〜1億5,000万円","8,000万〜1億円",上野動物園は東京都が運営しているので、レンタル料は東京都がはらっています。さらにエサ代やおりの管理費もかかるので、1年でもすごい金額。それでもたくさんの人が会いに来て町がにぎわうので、それ以上の価値があると考えられています。,Canva「お金のクイズ大会」,
